video_id,youtube_url,category_1,category_2,rank,task_id,status,error
N0NAi0DjMBw,https://www.youtube.com/watch?v=N0NAi0DjMBw,Arts and Entertainment,Music,73,57256,failed,ERROR: [youtube] N0NAi0DjMBw: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
EcXnB1MsjKI,https://www.youtube.com/watch?v=EcXnB1MsjKI,Arts and Entertainment,Music,37,25360,ok,
pBhgb_dUpoE,https://www.youtube.com/watch?v=pBhgb_dUpoE,Arts and Entertainment,Books,176,104765,failed,ERROR: [youtube] pBhgb_dUpoE: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
eZ16D5OV7cc,https://www.youtube.com/watch?v=eZ16D5OV7cc,Arts and Entertainment,Music,38,9761,ok,
1fDfbUz1P2U,https://www.youtube.com/watch?v=1fDfbUz1P2U,Arts and Entertainment,Music,58,50210,ok,
n4KyWMbOUaQ,https://www.youtube.com/watch?v=n4KyWMbOUaQ,Arts and Entertainment,Music,43,75179,failed,ERROR: [youtube] n4KyWMbOUaQ: Video unavailable
G1zXbb2F8ik,https://www.youtube.com/watch?v=G1zXbb2F8ik,Arts and Entertainment,Books,69,107853,ok,
dvf9dZE72Kg,https://www.youtube.com/watch?v=dvf9dZE72Kg,Arts and Entertainment,Books,132,23143,failed,ERROR: [youtube] dvf9dZE72Kg: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
AXqFksW2_7g,https://www.youtube.com/watch?v=AXqFksW2_7g,Arts and Entertainment,Books,15,23146,ok,
F1gL1-9iPnI,https://www.youtube.com/watch?v=F1gL1-9iPnI,Arts and Entertainment,Music,85,115236,ok,
MXNesATAwcQ,https://www.youtube.com/watch?v=MXNesATAwcQ,Arts and Entertainment,Music,86,80938,ok,
eJIk6oroQ3Y,https://www.youtube.com/watch?v=eJIk6oroQ3Y,Arts and Entertainment,Performing Arts,104,12748,failed,ERROR: [youtube] eJIk6oroQ3Y: Sign in to confirm your age. This video may be inappropriate for some users. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
9K-LUnheWdA,https://www.youtube.com/watch?v=9K-LUnheWdA,Arts and Entertainment,Music,109,25362,failed,ERROR: [youtube] 9K-LUnheWdA: Video unavailable
6iIX9XB-f7c,https://www.youtube.com/watch?v=6iIX9XB-f7c,Arts and Entertainment,Music,35,71825,ok,
IVn7xZlwwFU,https://www.youtube.com/watch?v=IVn7xZlwwFU,Arts and Entertainment,Music,23,50210,ok,
X1OGpthzy2I,https://www.youtube.com/watch?v=X1OGpthzy2I,Arts and Entertainment,Music,98,115236,ok,
aLjLBNmuO9c,https://www.youtube.com/watch?v=aLjLBNmuO9c,Arts and Entertainment,Music,125,25360,ok,
aXHU7gHdscE,https://www.youtube.com/watch?v=aXHU7gHdscE,Arts and Entertainment,Music,25,9757,ok,
fnSbvp8gVhM,https://www.youtube.com/watch?v=fnSbvp8gVhM,Arts and Entertainment,Books,31,25647,failed,ERROR: [youtube] fnSbvp8gVhM: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
T-EX4ZjDZhs,https://www.youtube.com/watch?v=T-EX4ZjDZhs,Arts and Entertainment,Music,30,50499,ok,
TmoM0k2oaDY,https://www.youtube.com/watch?v=TmoM0k2oaDY,Arts and Entertainment,Costumes,59,24291,failed,ERROR: [youtube] TmoM0k2oaDY: This video is not available
oSoBT9JRE1Q,https://www.youtube.com/watch?v=oSoBT9JRE1Q,Arts and Entertainment,Music,27,83699,ok,
eyOkSX_0nX8,https://www.youtube.com/watch?v=eyOkSX_0nX8,Arts and Entertainment,Movies,23,14438,ok,
JdWTlSrep_o,https://www.youtube.com/watch?v=JdWTlSrep_o,Arts and Entertainment,Music,112,83583,ok,
ruMiUbPsW2s,https://www.youtube.com/watch?v=ruMiUbPsW2s,Arts and Entertainment,Music,37,57281,ok,
Z6W0rdsV4NU,https://www.youtube.com/watch?v=Z6W0rdsV4NU,Arts and Entertainment,Music,100,105351,ok,
J6_7zGVEzJk,https://www.youtube.com/watch?v=J6_7zGVEzJk,Arts and Entertainment,Music,130,50531,failed,ERROR: [youtube] J6_7zGVEzJk: This video is not available
YJG9gE74C0E,https://www.youtube.com/watch?v=YJG9gE74C0E,Arts and Entertainment,Music,173,43030,ok,
gp2VvmUJJc8,https://www.youtube.com/watch?v=gp2VvmUJJc8,Arts and Entertainment,Music,132,105231,ok,
nl4gLYGolbc,https://www.youtube.com/watch?v=nl4gLYGolbc,Arts and Entertainment,Music,170,25362,ok,
HCUgPuQZKh4,https://www.youtube.com/watch?v=HCUgPuQZKh4,Arts and Entertainment,Music,135,82226,ok,
Maga0UUyZ0M,https://www.youtube.com/watch?v=Maga0UUyZ0M,Arts and Entertainment,Music,5,49312,ok,
ILgeDkGlLRM,https://www.youtube.com/watch?v=ILgeDkGlLRM,Arts and Entertainment,Cosplay and Role Playing,106,34053,failed,ERROR: [youtube] ILgeDkGlLRM: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
tWdpOCyxXT0,https://www.youtube.com/watch?v=tWdpOCyxXT0,Arts and Entertainment,Music,108,25351,failed,ERROR: [youtube] tWdpOCyxXT0: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
zPjNWXdWdTM,https://www.youtube.com/watch?v=zPjNWXdWdTM,Arts and Entertainment,Music,148,50505,failed,ERROR: [youtube] zPjNWXdWdTM: Video unavailable
KlqoYUgJFu4,https://www.youtube.com/watch?v=KlqoYUgJFu4,Arts and Entertainment,Music,26,145,ok,
yeKm-ccvpUs,https://www.youtube.com/watch?v=yeKm-ccvpUs,Arts and Entertainment,Music,171,105351,ok,
yQpMPo1W3QE,https://www.youtube.com/watch?v=yQpMPo1W3QE,Arts and Entertainment,Books,169,25087,ok,
1YVDhSpcXz0,https://www.youtube.com/watch?v=1YVDhSpcXz0,Arts and Entertainment,Music,62,75175,ok,
F6unxTS5VIw,https://www.youtube.com/watch?v=F6unxTS5VIw,Arts and Entertainment,Music,16,49312,ok,
YWC1JSXxJB4,https://www.youtube.com/watch?v=YWC1JSXxJB4,Arts and Entertainment,Music,142,83584,failed,ERROR: [youtube] YWC1JSXxJB4: Video unavailable
xUB1XEDRGWY,https://www.youtube.com/watch?v=xUB1XEDRGWY,Arts and Entertainment,Books,38,25067,ok,
k1GlJmpvT2o,https://www.youtube.com/watch?v=k1GlJmpvT2o,Arts and Entertainment,Music,23,67554,ok,
KFlIFN8oPDw,https://www.youtube.com/watch?v=KFlIFN8oPDw,Arts and Entertainment,Music,8,50505,ok,
EEZYykAXVbU,https://www.youtube.com/watch?v=EEZYykAXVbU,Arts and Entertainment,Costumes,37,113375,ok,
lVOqIn5DQP0,https://www.youtube.com/watch?v=lVOqIn5DQP0,Arts and Entertainment,Music,151,117054,failed,ERROR: [youtube] lVOqIn5DQP0: This video is not available
T-Y4xYjIZQ8,https://www.youtube.com/watch?v=T-Y4xYjIZQ8,Arts and Entertainment,Music,163,82227,ok,
uqczWqobgyI,https://www.youtube.com/watch?v=uqczWqobgyI,Arts and Entertainment,Music,63,105313,ok,
UU5_-ykmMkY,https://www.youtube.com/watch?v=UU5_-ykmMkY,Arts and Entertainment,Books,153,104765,ok,
IR5lMGUtfp0,https://www.youtube.com/watch?v=IR5lMGUtfp0,Arts and Entertainment,Music,42,25340,ok,
gBzirIfsQPo,https://www.youtube.com/watch?v=gBzirIfsQPo,Arts and Entertainment,Music,21,50505,ok,
7sm2cDzDyxU,https://www.youtube.com/watch?v=7sm2cDzDyxU,Arts and Entertainment,Music,113,117053,ok,
PWobhnl-sao,https://www.youtube.com/watch?v=PWobhnl-sao,Arts and Entertainment,Music,161,82226,ok,
aqShQ1sUNqA,https://www.youtube.com/watch?v=aqShQ1sUNqA,Arts and Entertainment,Music,151,80075,ok,
mp0vVjRpDkU,https://www.youtube.com/watch?v=mp0vVjRpDkU,Arts and Entertainment,Music,87,83583,ok,
hW3IeWdmfFQ,https://www.youtube.com/watch?v=hW3IeWdmfFQ,Arts and Entertainment,Music,24,80936,ok,
PFYbspf-bKI,https://www.youtube.com/watch?v=PFYbspf-bKI,Arts and Entertainment,Music,81,9762,ok,
IPmO_kHpkGI,https://www.youtube.com/watch?v=IPmO_kHpkGI,Arts and Entertainment,Music,56,25360,ok,
6ZWCT2t1f9g,https://www.youtube.com/watch?v=6ZWCT2t1f9g,Arts and Entertainment,Music,41,50523,ok,
ERJfHPdpmnQ,https://www.youtube.com/watch?v=ERJfHPdpmnQ,Arts and Entertainment,Music,24,96181,ok,
ahau4sqH4Kk,https://www.youtube.com/watch?v=ahau4sqH4Kk,Arts and Entertainment,Costumes,65,37410,failed,ERROR: [youtube] ahau4sqH4Kk: This video is not available
KVdsidN-WfU,https://www.youtube.com/watch?v=KVdsidN-WfU,Arts and Entertainment,Music,94,83581,failed,ERROR: [youtube] KVdsidN-WfU: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
j01XaIKdLYE,https://www.youtube.com/watch?v=j01XaIKdLYE,Arts and Entertainment,Costumes,17,37354,ok,
hDzU7jwbVjE,https://www.youtube.com/watch?v=hDzU7jwbVjE,Arts and Entertainment,Music,8,83622,ok,
o9cJWpf3dYE,https://www.youtube.com/watch?v=o9cJWpf3dYE,Arts and Entertainment,Books,7,82965,ok,
HIVAJrXi1SQ,https://www.youtube.com/watch?v=HIVAJrXi1SQ,Arts and Entertainment,Music,42,80084,ok,
lLej-jzKbeU,https://www.youtube.com/watch?v=lLej-jzKbeU,Arts and Entertainment,Music,167,52978,ok,
0fquefH73Oo,https://www.youtube.com/watch?v=0fquefH73Oo,Arts and Entertainment,Costumes,38,37354,failed,ERROR: [youtube] 0fquefH73Oo: This video is not available
XCzbV-_aIvU,https://www.youtube.com/watch?v=XCzbV-_aIvU,Arts and Entertainment,Music,76,47061,failed,ERROR: [youtube] XCzbV-_aIvU: Video unavailable
-wSeBbZ7y7g,https://www.youtube.com/watch?v=-wSeBbZ7y7g,Arts and Entertainment,Costumes,137,87427,ok,
990HZaB_qdg,https://www.youtube.com/watch?v=990HZaB_qdg,Arts and Entertainment,Music,155,43037,ok,
phUC5PTbDmk,https://www.youtube.com/watch?v=phUC5PTbDmk,Arts and Entertainment,Costumes,11,78512,ok,
esOK85bKr7A,https://www.youtube.com/watch?v=esOK85bKr7A,Arts and Entertainment,Music,69,25363,failed,ERROR: [youtube] esOK85bKr7A: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
hDQMy7KvlPE,https://www.youtube.com/watch?v=hDQMy7KvlPE,Arts and Entertainment,Costumes,55,37408,failed,ERROR: [youtube] hDQMy7KvlPE: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
FIfexUZO_us,https://www.youtube.com/watch?v=FIfexUZO_us,Arts and Entertainment,Music,131,66059,ok,
aFf9FQxtKVs,https://www.youtube.com/watch?v=aFf9FQxtKVs,Arts and Entertainment,Exhibited Arts,5,118580,ok,
R_OHozRyI5w,https://www.youtube.com/watch?v=R_OHozRyI5w,Arts and Entertainment,Costumes,55,37397,ok,
S16UFyoo21Y,https://www.youtube.com/watch?v=S16UFyoo21Y,Arts and Entertainment,Music,77,50504,ok,
H925U_VMacs,https://www.youtube.com/watch?v=H925U_VMacs,Arts and Entertainment,Music,140,49312,ok,
yoUfQOqtrUo,https://www.youtube.com/watch?v=yoUfQOqtrUo,Arts and Entertainment,Performing Arts,66,113445,ok,
pFprVRJVNKQ,https://www.youtube.com/watch?v=pFprVRJVNKQ,Arts and Entertainment,Music,17,83583,ok,
ggXeCnrbuj4,https://www.youtube.com/watch?v=ggXeCnrbuj4,Arts and Entertainment,Music,133,82226,ok,
pCIbpglbtpc,https://www.youtube.com/watch?v=pCIbpglbtpc,Arts and Entertainment,Books,134,10600,failed,ERROR: [youtube] pCIbpglbtpc: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
VpEas_trFkc,https://www.youtube.com/watch?v=VpEas_trFkc,Arts and Entertainment,Music,11,47055,ok,
hqIa2lYT0xE,https://www.youtube.com/watch?v=hqIa2lYT0xE,Arts and Entertainment,Music,89,25359,ok,
D3-DHinH97E,https://www.youtube.com/watch?v=D3-DHinH97E,Arts and Entertainment,Music,8,9762,failed,ERROR: [youtube] D3-DHinH97E: Video unavailable
RlYe7DTqUAc,https://www.youtube.com/watch?v=RlYe7DTqUAc,Arts and Entertainment,Music,14,25360,ok,
hv98lCpdKRk,https://www.youtube.com/watch?v=hv98lCpdKRk,Arts and Entertainment,Music,14,105231,ok,
-i-Dp1prqTM,https://www.youtube.com/watch?v=-i-Dp1prqTM,Arts and Entertainment,Music,16,75179,ok,
D0wFReijo8c,https://www.youtube.com/watch?v=D0wFReijo8c,Arts and Entertainment,Music,104,9761,ok,
5c1vsOZhwbI,https://www.youtube.com/watch?v=5c1vsOZhwbI,Arts and Entertainment,Costumes,56,113375,failed,ERROR: [youtube] 5c1vsOZhwbI: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
TQWl54qd9uA,https://www.youtube.com/watch?v=TQWl54qd9uA,Arts and Entertainment,Music,29,80105,ok,
