video_id,youtube_url,category_1,category_2,rank,task_id
yWm9tHQ5YEw,https://www.youtube.com/watch?v=yWm9tHQ5YEw,Arts and Entertainment,Costumes,70,37408
YE-iZNKl7E8,https://www.youtube.com/watch?v=YE-iZNKl7E8,Arts and Entertainment,Costumes,40,87401
bv3I04YGRe4,https://www.youtube.com/watch?v=bv3I04YGRe4,Arts and Entertainment,Costumes,41,37408
y4GgVIy4keM,https://www.youtube.com/watch?v=y4GgVIy4keM,Arts and Entertainment,Costumes,34,37408
_y2QEX-qK00,https://www.youtube.com/watch?v=_y2QEX-qK00,Arts and Entertainment,Costumes,96,37408
roigpbZ6Dpc,https://www.youtube.com/watch?v=roigpbZ6Dpc,Arts and Entertainment,Costumes,151,72996
lrI0lK-MKoo,https://www.youtube.com/watch?v=lrI0lK-MKoo,Arts and Entertainment,Costumes,98,37408
IRZ6a-lH1ng,https://www.youtube.com/watch?v=IRZ6a-lH1ng,Arts and Entertainment,Costumes,119,78891
S6PhZ6J7ktQ,https://www.youtube.com/watch?v=S6PhZ6J7ktQ,Arts and Entertainment,Costumes,82,105885
IWXiZ4ZC0s4,https://www.youtube.com/watch?v=IWXiZ4ZC0s4,Arts and Entertainment,Costumes,52,37408
TkRY2akVWIA,https://www.youtube.com/watch?v=TkRY2akVWIA,Arts and Entertainment,Costumes,80,30800
1QopOedCD70,https://www.youtube.com/watch?v=1QopOedCD70,Arts and Entertainment,Costumes,169,37408
pQ7TutudRqo,https://www.youtube.com/watch?v=pQ7TutudRqo,Arts and Entertainment,Costumes,177,87398
M9HvMuwrlpc,https://www.youtube.com/watch?v=M9HvMuwrlpc,Arts and Entertainment,Costumes,132,37408
e-wR4zePuEY,https://www.youtube.com/watch?v=e-wR4zePuEY,Arts and Entertainment,Costumes,84,38141
VzGjU15D950,https://www.youtube.com/watch?v=VzGjU15D950,Arts and Entertainment,Costumes,126,37408
joFAQzjL5xY,https://www.youtube.com/watch?v=joFAQzjL5xY,Arts and Entertainment,Costumes,18,37408
j25hUznwW1Q,https://www.youtube.com/watch?v=j25hUznwW1Q,Arts and Entertainment,Costumes,27,37408
LkFLE403Kpk,https://www.youtube.com/watch?v=LkFLE403Kpk,Arts and Entertainment,Costumes,72,37408
TAqgqAmiE8E,https://www.youtube.com/watch?v=TAqgqAmiE8E,Arts and Entertainment,Costumes,68,37408
