video_id,youtube_url,category_1,category_2,rank,task_id
y4zi9NdqKvA,https://www.youtube.com/watch?v=y4zi9NdqKvA,Arts and Entertainment,Costumes,58,37419
uPBuw6rDEPA,https://www.youtube.com/watch?v=uPBuw6rDEPA,Arts and Entertainment,Costumes,47,59237
8yslda9FKsk,https://www.youtube.com/watch?v=8yslda9FKsk,Arts and Entertainment,Music,197,96180
FFAS6ggIx7U,https://www.youtube.com/watch?v=FFAS6ggIx7U,Arts and Entertainment,Cosplay and Role Playing,80,34053
Z7J9VjLSG3k,https://www.youtube.com/watch?v=Z7J9VjLSG3k,Arts and Entertainment,Music,132,96180
6naFQxK2zL8,https://www.youtube.com/watch?v=6naFQxK2zL8,Arts and Entertainment,Costumes,191,99074
BhkdUTljZAU,https://www.youtube.com/watch?v=BhkdUTljZAU,Arts and Entertainment,Costumes,57,37410
fhO7mmz3XYo,https://www.youtube.com/watch?v=fhO7mmz3XYo,Arts and Entertainment,Music,58,57277
88y8QhaEu24,https://www.youtube.com/watch?v=88y8QhaEu24,Arts and Entertainment,Costumes,146,37408
zf2zjqYyc-0,https://www.youtube.com/watch?v=zf2zjqYyc-0,Arts and Entertainment,Music,3,43037
iSdFGfUeyHo,https://www.youtube.com/watch?v=iSdFGfUeyHo,Arts and Entertainment,Costumes,141,43999
3_1saOt4-1E,https://www.youtube.com/watch?v=3_1saOt4-1E,Arts and Entertainment,Costumes,144,47887
EjT0IKiWqbk,https://www.youtube.com/watch?v=EjT0IKiWqbk,Arts and Entertainment,Music,172,96192
ASM0HGnnHhA,https://www.youtube.com/watch?v=ASM0HGnnHhA,Arts and Entertainment,Music,29,57277
Q4q5mupB1c0,https://www.youtube.com/watch?v=Q4q5mupB1c0,Arts and Entertainment,Costumes,83,74023
bulStg8TIIs,https://www.youtube.com/watch?v=bulStg8TIIs,Arts and Entertainment,Music,157,96192
VICiymRE1VU,https://www.youtube.com/watch?v=VICiymRE1VU,Arts and Entertainment,Books,62,104765
RVeEuILkoNQ,https://www.youtube.com/watch?v=RVeEuILkoNQ,Arts and Entertainment,Costumes,35,34058
3wg4MUCLkAM,https://www.youtube.com/watch?v=3wg4MUCLkAM,Arts and Entertainment,Movies,96,102203
2wnfS0q4pHc,https://www.youtube.com/watch?v=2wnfS0q4pHc,Arts and Entertainment,Music,45,96185
BGZgXVgX_7c,https://www.youtube.com/watch?v=BGZgXVgX_7c,Arts and Entertainment,Music,3,96192
n0eqRq4pMqc,https://www.youtube.com/watch?v=n0eqRq4pMqc,Arts and Entertainment,Costumes,7,34058
4DxsV36pT9w,https://www.youtube.com/watch?v=4DxsV36pT9w,Arts and Entertainment,Books,105,62109
1fRqQ8keIBc,https://www.youtube.com/watch?v=1fRqQ8keIBc,Arts and Entertainment,Costumes,175,37419
T-7ZI0-GEeg,https://www.youtube.com/watch?v=T-7ZI0-GEeg,Arts and Entertainment,Costumes,2,37354
4vre6wApu_I,https://www.youtube.com/watch?v=4vre6wApu_I,Arts and Entertainment,Costumes,16,5014
nZHWkMjrkws,https://www.youtube.com/watch?v=nZHWkMjrkws,Arts and Entertainment,Costumes,134,37408
REDUgxxSGtc,https://www.youtube.com/watch?v=REDUgxxSGtc,Arts and Entertainment,Music,175,96192
xtM0PIXqN9E,https://www.youtube.com/watch?v=xtM0PIXqN9E,Arts and Entertainment,Costumes,44,37410
h20AYCv0i9A,https://www.youtube.com/watch?v=h20AYCv0i9A,Arts and Entertainment,Music,9,96192
Fyeok8YkD2I,https://www.youtube.com/watch?v=Fyeok8YkD2I,Arts and Entertainment,Music,134,96192
kNgQSEBzwn8,https://www.youtube.com/watch?v=kNgQSEBzwn8,Arts and Entertainment,Music,25,96192
Bx5bDrPQfr8,https://www.youtube.com/watch?v=Bx5bDrPQfr8,Arts and Entertainment,Costumes,134,5014
6PDnQYtKiLI,https://www.youtube.com/watch?v=6PDnQYtKiLI,Arts and Entertainment,Cosplay and Role Playing,64,34053
SB_ULXDbgRU,https://www.youtube.com/watch?v=SB_ULXDbgRU,Arts and Entertainment,Music,191,57277
txQJhesMA98,https://www.youtube.com/watch?v=txQJhesMA98,Arts and Entertainment,Music,52,57277
bhabbe8Q5Yc,https://www.youtube.com/watch?v=bhabbe8Q5Yc,Arts and Entertainment,Movies,114,102203
8zgFEpgPV5M,https://www.youtube.com/watch?v=8zgFEpgPV5M,Arts and Entertainment,Costumes,20,99074
TkRY2akVWIA,https://www.youtube.com/watch?v=TkRY2akVWIA,Arts and Entertainment,Costumes,80,30800
FfuIHXTMips,https://www.youtube.com/watch?v=FfuIHXTMips,Arts and Entertainment,Music,17,57277
ebEQ3eTtwGo,https://www.youtube.com/watch?v=ebEQ3eTtwGo,Arts and Entertainment,Music,151,96192
RxvBTT0Sk14,https://www.youtube.com/watch?v=RxvBTT0Sk14,Arts and Entertainment,Costumes,108,37408
snUNFQwgTI4,https://www.youtube.com/watch?v=snUNFQwgTI4,Arts and Entertainment,Costumes,30,120439
TpK_7OQgGlo,https://www.youtube.com/watch?v=TpK_7OQgGlo,Arts and Entertainment,Movies,10,102203
CPT6ox4_gbw,https://www.youtube.com/watch?v=CPT6ox4_gbw,Arts and Entertainment,Costumes,164,99074
7z51JVYqphQ,https://www.youtube.com/watch?v=7z51JVYqphQ,Arts and Entertainment,Costumes,9,37419
oRKRlb-iOPI,https://www.youtube.com/watch?v=oRKRlb-iOPI,Arts and Entertainment,Music,27,96180
fDzzUPMjROA,https://www.youtube.com/watch?v=fDzzUPMjROA,Arts and Entertainment,Music,122,57277
rtaJ_2G1qTE,https://www.youtube.com/watch?v=rtaJ_2G1qTE,Arts and Entertainment,Costumes,26,37408
quacEpjeZLg,https://www.youtube.com/watch?v=quacEpjeZLg,Arts and Entertainment,Costumes,24,37410
UBL-ejsRr8g,https://www.youtube.com/watch?v=UBL-ejsRr8g,Arts and Entertainment,Costumes,29,99074
fav2BNT8lOc,https://www.youtube.com/watch?v=fav2BNT8lOc,Arts and Entertainment,Costumes,194,37419
9uiSvTf-120,https://www.youtube.com/watch?v=9uiSvTf-120,Arts and Entertainment,Music,36,96192
rKB7VDqgtLI,https://www.youtube.com/watch?v=rKB7VDqgtLI,Arts and Entertainment,Music,83,96180
OHqqHKqajs0,https://www.youtube.com/watch?v=OHqqHKqajs0,Arts and Entertainment,Costumes,53,99074
UrahcD77-es,https://www.youtube.com/watch?v=UrahcD77-es,Arts and Entertainment,Music,66,96180
KbdLCEE2Bj0,https://www.youtube.com/watch?v=KbdLCEE2Bj0,Arts and Entertainment,Music,74,96192
XybYKqjk4js,https://www.youtube.com/watch?v=XybYKqjk4js,Arts and Entertainment,Costumes,20,37408
nrfaExv6LJc,https://www.youtube.com/watch?v=nrfaExv6LJc,Arts and Entertainment,Music,6,96192
kDQoT6QtPlY,https://www.youtube.com/watch?v=kDQoT6QtPlY,Arts and Entertainment,Costumes,9,37354
lL9CcIoqKXY,https://www.youtube.com/watch?v=lL9CcIoqKXY,Arts and Entertainment,Music,34,43038
91x5bPf2Eag,https://www.youtube.com/watch?v=91x5bPf2Eag,Arts and Entertainment,Costumes,67,37419
jy9qENaXIq8,https://www.youtube.com/watch?v=jy9qENaXIq8,Arts and Entertainment,Costumes,64,44026
rLLuoDE6hmY,https://www.youtube.com/watch?v=rLLuoDE6hmY,Arts and Entertainment,Music,141,96192
Auwa6LBt1N0,https://www.youtube.com/watch?v=Auwa6LBt1N0,Arts and Entertainment,Books,169,104765
16VvsYWebeg,https://www.youtube.com/watch?v=16VvsYWebeg,Arts and Entertainment,Costumes,116,34058
EhsFRjvcRg0,https://www.youtube.com/watch?v=EhsFRjvcRg0,Arts and Entertainment,Movies,63,102203
1_ISjbSb7co,https://www.youtube.com/watch?v=1_ISjbSb7co,Arts and Entertainment,Costumes,45,44026
8Jx8AIo3U04,https://www.youtube.com/watch?v=8Jx8AIo3U04,Arts and Entertainment,Cosplay and Role Playing,7,34053
jdulGgW5ENY,https://www.youtube.com/watch?v=jdulGgW5ENY,Arts and Entertainment,Costumes,83,44026
Y_LoBbyhn74,https://www.youtube.com/watch?v=Y_LoBbyhn74,Arts and Entertainment,Costumes,10,87427
HdNPnE_3MPs,https://www.youtube.com/watch?v=HdNPnE_3MPs,Arts and Entertainment,Costumes,158,37412
xFR0mZhjcFM,https://www.youtube.com/watch?v=xFR0mZhjcFM,Arts and Entertainment,Music,171,57277
LxqBSKT9NKU,https://www.youtube.com/watch?v=LxqBSKT9NKU,Arts and Entertainment,Costumes,150,37419
5M0NOY-Q99Y,https://www.youtube.com/watch?v=5M0NOY-Q99Y,Arts and Entertainment,Books,170,104765
b-9yz4VD0CE,https://www.youtube.com/watch?v=b-9yz4VD0CE,Arts and Entertainment,Costumes,40,43999
ARRfXt1XJnU,https://www.youtube.com/watch?v=ARRfXt1XJnU,Arts and Entertainment,Movies,82,102203
gnvftG7AZAI,https://www.youtube.com/watch?v=gnvftG7AZAI,Arts and Entertainment,Costumes,83,99074
_Nt9KqcITg4,https://www.youtube.com/watch?v=_Nt9KqcITg4,Arts and Entertainment,Costumes,134,37354
GP7aP67qQjQ,https://www.youtube.com/watch?v=GP7aP67qQjQ,Arts and Entertainment,Costumes,195,43999
RmC_wG0UdAg,https://www.youtube.com/watch?v=RmC_wG0UdAg,Arts and Entertainment,Movies,155,102203
8iuSFTP5gho,https://www.youtube.com/watch?v=8iuSFTP5gho,Arts and Entertainment,Costumes,112,5014
pQtI9PuQYcI,https://www.youtube.com/watch?v=pQtI9PuQYcI,Arts and Entertainment,Music,55,57277
9gKk_achCJs,https://www.youtube.com/watch?v=9gKk_achCJs,Arts and Entertainment,Music,66,57277
1yu3U2s5qaY,https://www.youtube.com/watch?v=1yu3U2s5qaY,Arts and Entertainment,Movies,140,38652
2wHMkZl8_Rg,https://www.youtube.com/watch?v=2wHMkZl8_Rg,Arts and Entertainment,Costumes,171,34058
pYKcZJWlBW4,https://www.youtube.com/watch?v=pYKcZJWlBW4,Arts and Entertainment,Music,131,96192
xShg52s1ZJk,https://www.youtube.com/watch?v=xShg52s1ZJk,Arts and Entertainment,Costumes,68,5014
MZyh4To1mtY,https://www.youtube.com/watch?v=MZyh4To1mtY,Arts and Entertainment,Cosplay and Role Playing,13,34053
an3HXZJTEno,https://www.youtube.com/watch?v=an3HXZJTEno,Arts and Entertainment,Costumes,65,37419
8pQXfvFEGto,https://www.youtube.com/watch?v=8pQXfvFEGto,Arts and Entertainment,Movies,54,102203
WQ2Cg62mvkQ,https://www.youtube.com/watch?v=WQ2Cg62mvkQ,Arts and Entertainment,Movies,53,102203
0kPEHy_GTWE,https://www.youtube.com/watch?v=0kPEHy_GTWE,Arts and Entertainment,Costumes,66,37354
HVe_-iM79Jw,https://www.youtube.com/watch?v=HVe_-iM79Jw,Arts and Entertainment,Cosplay and Role Playing,77,34053
gkryZXYl0LU,https://www.youtube.com/watch?v=gkryZXYl0LU,Arts and Entertainment,Music,180,57277
AlZ05XJL_zE,https://www.youtube.com/watch?v=AlZ05XJL_zE,Arts and Entertainment,Costumes,8,120074
2DE05g0Ho5Y,https://www.youtube.com/watch?v=2DE05g0Ho5Y,Arts and Entertainment,Music,70,96192
C-taKF8hh9M,https://www.youtube.com/watch?v=C-taKF8hh9M,Arts and Entertainment,Costumes,22,34058
owwu0MMl0qo,https://www.youtube.com/watch?v=owwu0MMl0qo,Arts and Entertainment,Movies,71,102203
6Xu7d4cfUmo,https://www.youtube.com/watch?v=6Xu7d4cfUmo,Arts and Entertainment,Costumes,117,37408
-ClEJoyDWXc,https://www.youtube.com/watch?v=-ClEJoyDWXc,Arts and Entertainment,Movies,175,102203
H7Xoj5zEWFg,https://www.youtube.com/watch?v=H7Xoj5zEWFg,Arts and Entertainment,Music,190,96192
o2iogs2H2JY,https://www.youtube.com/watch?v=o2iogs2H2JY,Arts and Entertainment,Movies,70,102203
WcpIrqFXza4,https://www.youtube.com/watch?v=WcpIrqFXza4,Arts and Entertainment,Music,82,57277
B1IQj83NCgI,https://www.youtube.com/watch?v=B1IQj83NCgI,Arts and Entertainment,Music,160,96192
teS8A39XBTM,https://www.youtube.com/watch?v=teS8A39XBTM,Arts and Entertainment,Costumes,85,99074
nlLObRMLMas,https://www.youtube.com/watch?v=nlLObRMLMas,Arts and Entertainment,Movies,164,102203
7zkU_lOSgPI,https://www.youtube.com/watch?v=7zkU_lOSgPI,Arts and Entertainment,Music,175,96181
xybjLcxcn1I,https://www.youtube.com/watch?v=xybjLcxcn1I,Arts and Entertainment,Cosplay and Role Playing,12,34053
Mc1_o6R4as8,https://www.youtube.com/watch?v=Mc1_o6R4as8,Arts and Entertainment,Costumes,115,43999
c3ChhPQa5j8,https://www.youtube.com/watch?v=c3ChhPQa5j8,Arts and Entertainment,Cosplay and Role Playing,85,34053
xqE-B3NQtcs,https://www.youtube.com/watch?v=xqE-B3NQtcs,Arts and Entertainment,Music,192,96192
qQNFZJNHwZ8,https://www.youtube.com/watch?v=qQNFZJNHwZ8,Arts and Entertainment,Costumes,75,37419
kA2fAPV9ks0,https://www.youtube.com/watch?v=kA2fAPV9ks0,Arts and Entertainment,Costumes,152,44026
9gt2IxE4HMA,https://www.youtube.com/watch?v=9gt2IxE4HMA,Arts and Entertainment,Costumes,96,99074
