video_id,youtube_url,category_1,category_2,label,embedding_path,status,error
y4zi9NdqKvA,https://www.youtube.com/watch?v=y4zi9NdqKvA,Arts and Entertainment,Costumes,costumes,/content/embeddings/costumes/y4zi9NdqKvA.pt,ok,
uPBuw6rDEPA,https://www.youtube.com/watch?v=uPBuw6rDEPA,Arts and Entertainment,Costumes,costumes,/content/embeddings/costumes/uPBuw6rDEPA.pt,ok,
8yslda9FKsk,https://www.youtube.com/watch?v=8yslda9FKsk,Arts and Entertainment,Music,music,/content/embeddings/music/8yslda9FKsk.pt,ok,
FFAS6ggIx7U,https://www.youtube.com/watch?v=FFAS6ggIx7U,Arts and Entertainment,Cosplay and Role Playing,cosplay_and_role_playing,/content/embeddings/cosplay_and_role_playing/FFAS6ggIx7U.pt,ok,
Z7J9VjLSG3k,https://www.youtube.com/watch?v=Z7J9VjLSG3k,Arts and Entertainment,Music,music,/content/embeddings/music/Z7J9VjLSG3k.pt,ok,
6naFQxK2zL8,https://www.youtube.com/watch?v=6naFQxK2zL8,Arts and Entertainment,Costumes,costumes,/content/embeddings/costumes/6naFQxK2zL8.pt,ok,
BhkdUTljZAU,https://www.youtube.com/watch?v=BhkdUTljZAU,Arts and Entertainment,Costumes,costumes,/content/embeddings/costumes/BhkdUTljZAU.pt,ok,
fhO7mmz3XYo,https://www.youtube.com/watch?v=fhO7mmz3XYo,Arts and Entertainment,Music,music,/content/embeddings/music/fhO7mmz3XYo.pt,ok,
88y8QhaEu24,https://www.youtube.com/watch?v=88y8QhaEu24,Arts and Entertainment,Costumes,costumes,/content/embeddings/costumes/88y8QhaEu24.pt,ok,
zf2zjqYyc-0,https://www.youtube.com/watch?v=zf2zjqYyc-0,Arts and Entertainment,Music,music,/content/embeddings/music/zf2zjqYyc-0.pt,ok,
iSdFGfUeyHo,https://www.youtube.com/watch?v=iSdFGfUeyHo,Arts and Entertainment,Costumes,costumes,/content/embeddings/costumes/iSdFGfUeyHo.pt,ok,
3_1saOt4-1E,https://www.youtube.com/watch?v=3_1saOt4-1E,Arts and Entertainment,Costumes,costumes,/content/embeddings/costumes/3_1saOt4-1E.pt,ok,
EjT0IKiWqbk,https://www.youtube.com/watch?v=EjT0IKiWqbk,Arts and Entertainment,Music,music,/content/embeddings/music/EjT0IKiWqbk.pt,ok,
ASM0HGnnHhA,https://www.youtube.com/watch?v=ASM0HGnnHhA,Arts and Entertainment,Music,music,/content/embeddings/music/ASM0HGnnHhA.pt,ok,
